iter	RMSE
136	0.3463110544
137	0.3462131202
138	0.3460595556
139	0.3459816502
140	0.345890301
141	0.3458121062
142	0.345709009
143	0.3456525298
144	0.3455931865
145	0.3455289544
146	0.3454344444
147	0.3453588082
148	0.3453054495
149	0.34518372
150	0.3450874104
151	0.345012176
152	0.3449550738
153	0.344874271
154	0.3448214601
155	0.3447457385
156	0.3446571811
157	0.3445122902
158	0.3444605464
159	0.3443622413
160	0.3443078939
161	0.3442390495
162	0.3441792148
163	0.3441155166
164	0.3440709233
165	0.3439829751
166	0.3438326304
167	0.3437146306
168	0.3436602634
169	0.3435904012
170	0.3434952869
171	0.3433837242
172	0.3431934282
173	0.3430906649
174	0.3430338007
175	0.3429164412
176	0.3428642771
177	0.3427643028
178	0.3427232958
179	0.3426611825
180	0.3425823921
181	0.3425266489
182	0.3424641323
183	0.3424297528
184	0.3423683461
185	0.3422912871
186	0.3422442868
187	0.3421997628
188	0.3421506991
189	0.3420891903
190	0.3420321978
191	0.3419483723
192	0.3418697554
193	0.3418275731
194	0.3417819803
195	0.3417115011
196	0.3416708669
197	0.341618257
198	0.3415558713
199	0.3414497878
200	0.341412368
201	0.3413641919
202	0.3413122956
203	0.3412500952
204	0.341208135
205	0.3411446583
206	0.3410771067
207	0.3410067955
208	0.3409477196
209	0.340876719
210	0.3408344558
211	0.3407933244
212	0.3407608062
213	0.3407157512
214	0.340663353
215	0.3405752002
216	0.3405328599
217	0.3404303347
218	0.340388153
219	0.3402906251
220	0.3402416873
221	0.3401946379
222	0.3401720998
223	0.3401013822
224	0.3400520985
225	0.3400108338
226	0.3399684273
227	0.3399261001
228	0.3398607636
229	0.3398187778
230	0.339781731
231	0.3396642597
232	0.3396047159
233	0.339558854
234	0.3395043369
235	0.3394212264
236	0.3393743539
237	0.3393149659
238	0.3392770977
239	0.3392104647
240	0.339162566
241	0.3390870964
242	0.3390678303
243	0.3390395827
244	0.3389924699
245	0.338939814
246	0.3388928372
247	0.3388398732
248	0.3387870183
249	0.3387597671
250	0.3387145122
251	0.3386593906
252	0.3386187905
253	0.3385831823
254	0.3385257744
255	0.3384893083
256	0.3384347232
257	0.3383885876
258	0.3383401364
259	0.3382927243
260	0.3382553767
261	0.3382187899
262	0.3381882658
263	0.3381380274
264	0.3381052856
265	0.3380628674
266	0.33800476
267	0.337961531
268	0.3378661688
269	0.3378098049
270	0.3377377167
271	0.3377070649
272	0.3376578536
273	0.3376349411
274	0.3375824359
275	0.3375456275
276	0.3375172319
277	0.3374883357
278	0.3374355027
279	0.3373938909
280	0.3373477107
281	0.3373063565
282	0.3372220903
283	0.3371978721
284	0.3371626533
285	0.3371330884
286	0.3370902113
287	0.337060491
288	0.3370270716
289	0.3370088421
290	0.3369461882
291	0.336901908
292	0.3368734888
293	0.3368333951
294	0.3367788742
295	0.3367235468
296	0.3366760007
297	0.3366458993
298	0.3366085534
299	0.3365732721
300	0.3365328098
301	0.336503073
302	0.3364727094
303	0.3364522137
304	0.3364197413
305	0.3363715481
306	0.3363482675
307	0.3362961924
308	0.3362779093
309	0.3362207368
310	0.3361831353
311	0.3361634138
312	0.3361409607
313	0.3361145339
314	0.3360708261
315	0.336035824
316	0.3360049794
317	0.3359287069
318	0.3359037869
319	0.3358415375
320	0.3357629669
321	0.3357201235
322	0.3356930158
323	0.335665072
324	0.3356311078
325	0.3356084229
326	0.3355407671
327	0.3354868717
328	0.3354602491
329	0.3354362314
330	0.3354125141
331	0.3353814356
332	0.3353279048
333	0.335301848
334	0.3352659452
335	0.3352307029
336	0.3351799299
337	0.3351615281
338	0.3351255899
339	0.3350726421
340	0.3350512606
341	0.3349961687
342	0.3349584921
343	0.3349322336
344	0.3348797802
345	0.334840034
346	0.3348020916
347	0.3347674539
348	0.3347527279
349	0.3347185846
350	0.3346949332
351	0.3346759419
352	0.334623808
353	0.3345926479
354	0.3345621152
355	0.3345331355
356	0.3344904742
357	0.3344788513
358	0.3344466577
359	0.3344236793
360	0.3343931555
361	0.3343755402
362	0.3343402538
363	0.3343155776
364	0.3342859001
365	0.3342529622
366	0.3342240463
367	0.3342033217
368	0.3341772275
369	0.334158739
370	0.3341311395
371	0.3340980503
372	0.3340392519
373	0.3340175682
374	0.3339826333
375	0.3339398236
376	0.3339182882
377	0.33387943
378	0.3338628678
379	0.3338423487
380	0.3338147096
381	0.3337784663
382	0.3337456166
383	0.3337203736
384	0.3336912764
385	0.3336653497
386	0.333633209
387	0.3336000697
388	0.333571158
389	0.3335516327
390	0.3335279677
391	0.3335170073
392	0.3334991583
393	0.3334812769
394	0.3334548764
395	0.3334161346
396	0.3333902973
397	0.3333732615
398	0.3333272818
399	0.3333049362
400	0.3332792016
401	0.3332577092
402	0.3332116349
403	0.3331915256
404	0.3331574338
405	0.3331053948
406	0.33308835
407	0.3330515672
408	0.3330076301
409	0.3329687513
410	0.3329222808
411	0.3329122207
412	0.3328726703
413	0.3328383076
414	0.3328112239
415	0.3327987841
416	0.3327797636
417	0.3327535861
418	0.3327342175
419	0.3327192738
420	0.3326875305
421	0.332660686
422	0.3326418634
423	0.3326069971
424	0.3325888765
425	0.3325566653
426	0.3325177853
427	0.3324932393
428	0.3324693469
429	0.3324314112
430	0.332424193
431	0.3324055933
432	0.3323764452
433	0.3323365954
434	0.332321204
435	0.3323087139
436	0.3322787616
437	0.3322650621
438	0.3322519276
439	0.3322264769
440	0.3322118369
441	0.3321857353
442	0.3321522691
443	0.3321231407
444	0.3321029717
445	0.3320856813
446	0.3320626862
447	0.3320359588
448	0.3320102411
449	0.3319875697
450	0.3319611671
451	0.3319302256
452	0.331904967
453	0.331872887
454	0.3318390054
455	0.3317856178
456	0.3317548321
457	0.331741007
458	0.3317250516
459	0.3316988865
460	0.3316521123
461	0.3316158234
462	0.3315753917
463	0.3315554163
464	0.3315427207
465	0.3315363712
466	0.3315256172
467	0.3315060859
468	0.3314737709
469	0.3314481663
470	0.3314355202
471	0.3313999688
472	0.3313890975
473	0.3313614714
474	0.3313466299
475	0.3313189129
476	0.3312780309
477	0.3312588558
478	0.3312405467
479	0.331211352
480	0.3311831812
481	0.3311671561
482	0.3311362025
483	0.3311060878
484	0.331094029
485	0.3310670263
486	0.3310441307
487	0.331019378
488	0.3309961123
489	0.3309723932
490	0.330953058
491	0.3309386852
492	0.3309175014
493	0.3308932503
494	0.3308796929
495	0.3308532838
496	0.3308397313
497	0.330816874
498	0.3308023229
499	0.3307549809
500	0.3307170895
501	0.3306894627
502	0.3306774189
503	0.3306666806
504	0.3306556189
505	0.3306366389
506	0.3306168038
507	0.3305944425
508	0.3305613243
509	0.3305424001
510	0.330514675
511	0.3304699171
512	0.3304363578
513	0.3304234146
514	0.3303997632
515	0.3303638662
516	0.3303455598
517	0.3303282294
518	0.3303060042
519	0.3302892228
520	0.3302744935
521	0.3302592403
522	0.33024678
523	0.3302244576
524	0.3301935607
525	0.3301739177
526	0.3301523253
527	0.330137421
528	0.3301148927
529	0.3301023214
530	0.3300809486
531	0.3300592839
532	0.3300403661
533	0.330012152
534	0.3299877269
535	0.3299677195
536	0.3299338295
537	0.3299057089
538	0.3298822588
539	0.3298575721
540	0.3298374824
541	0.3298161522
542	0.3298040136
543	0.3297716406
544	0.3297557017
545	0.3297477147
546	0.3297312048
547	0.3297103533
548	0.3296897365
549	0.3296774206
550	0.3296646696
551	0.3296478251
552	0.3295999668
553	0.3295747791
554	0.3295367426
555	0.329526394
556	0.3294988744
557	0.3294765095
558	0.3294582825
559	0.3294406294
560	0.329428803
561	0.3293906768
562	0.3293766186
563	0.3293681717
564	0.3293351134
565	0.3292958991
566	0.3292718226
567	0.3292401633
568	0.3292214091
569	0.3292114751
570	0.3291918511
571	0.3291566831
572	0.3291405699
573	0.3291245731
574	0.3291132669
575	0.3291065921
576	0.3290957725
577	0.3290740764
578	0.3290572766
579	0.3290466555
580	0.3290312278
581	0.3290140893
582	0.3289951286
583	0.3289779401
584	0.3289615691
585	0.3289492496
586	0.3289269829
587	0.3289084946
588	0.3288874085
589	0.3288673368
590	0.3288431277
591	0.3288242948
592	0.3287971887
593	0.3287819262
594	0.3287654023
595	0.3287485664
596	0.3287444748
597	0.3287323859
598	0.3287032025
599	0.3286818299
600	0.3286685387
601	0.3286454617
602	0.3286299565
603	0.328592868
604	0.3285792452
605	0.3285662359
606	0.3285447017
607	0.3285364918
608	0.328516554
609	0.3284963282
610	0.3284821653
611	0.3284616648
612	0.3284443152
613	0.3284335373
614	0.3284238281
615	0.3284066644
616	0.3283954451
617	0.3283693101
618	0.3283507575
619	0.3283224663
620	0.3283125304
621	0.3282928057
622	0.3282627589
623	0.3282288039
624	0.3282040035
625	0.3281919021
626	0.3281755967
627	0.3281596385
628	0.3281512542
629	0.3281225149
630	0.3281087102
631	0.3281027211
632	0.3280744188
633	0.3280469918
634	0.3280261257
635	0.32801799
636	0.328004358
637	0.32799456
638	0.3279710399
639	0.3279631205
640	0.3279512579
641	0.3279419645
642	0.3279248411
643	0.3279078053
644	0.3278922023
645	0.3278819525
646	0.3278766616
647	0.3278573397
648	0.3278431818
649	0.3278298408
650	0.3278095811
651	0.3277808477
652	0.3277734445
653	0.3277467429
654	0.3277298784
655	0.327706796
656	0.3276873628
657	0.327670128
658	0.3276400311
659	0.327615881
660	0.3275786574
661	0.3275667555
662	0.3275533534
663	0.3275206099
664	0.3275055925
665	0.3274830242
666	0.3274736022
667	0.327463927
668	0.3274344724
669	0.3274112625
670	0.3273930318
671	0.3273727242
672	0.3273477944
673	0.3273271376
674	0.3273056118
675	0.3272890348
676	0.3272798897
677	0.3272578898
678	0.3272386734
679	0.3272146219
680	0.327204079
681	0.327178023
682	0.3271610642
683	0.3271573582
684	0.3271379234
685	0.3271179934
686	0.3270857826
687	0.3270702217
688	0.3270607663
689	0.3270421738
690	0.3270184696
691	0.3270004243
692	0.3269692113
693	0.3269561033
694	0.3269406949
695	0.3269169818
696	0.3269016392
697	0.3268924917
698	0.3268701482
699	0.3268463014
700	0.3268189602
701	0.3267950376
702	0.3267808682
703	0.3267738776
704	0.3267575958
705	0.3267493874
706	0.3267281579
707	0.3267172385
708	0.3267058317
709	0.326694147
710	0.3266722582
711	0.3266557847
712	0.3266361561
713	0.3266160289
714	0.3266101073
715	0.3265941754
716	0.326567654
717	0.3265583908
718	0.3265505185
719	0.3265360929
720	0.3265248263
721	0.3265156681
722	0.3265070046
723	0.3264767649
724	0.3264684555
725	0.3264540723
726	0.3264435436
727	0.3264314757
728	0.326409426
729	0.3263900561
730	0.3263723806
731	0.3263597069
732	0.3263520257
733	0.3263444932
734	0.3263214153
735	0.3263171596
736	0.3263051758
737	0.3262827266
738	0.3262680686
739	0.3262461098
740	0.3262327925
741	0.3262082448
742	0.32619432
743	0.3261883116
744	0.3261823086
745	0.3261670134
746	0.3261574646
747	0.3261448495
748	0.3261361106
749	0.3261120219
750	0.3260966876
751	0.3260748486
752	0.3260572231
753	0.3260251178
754	0.326013891
755	0.3259908078
756	0.3259644814
757	0.3259441527
758	0.3259335892
759	0.3259218266
760	0.3258979863
761	0.325875008
762	0.3258544998
763	0.3258379625
764	0.3258047331
765	0.3257898464
766	0.3257793304
767	0.3257670681
768	0.3257512609
769	0.3257334355
770	0.3257147842
771	0.3257089411
772	0.3256965952
773	0.3256834442
774	0.3256754346
775	0.3256620984
776	0.3256466572
777	0.3256159864
778	0.3256030971
779	0.3255923235
780	0.3255676417
781	0.3255499057
782	0.3255348706
783	0.325525611
784	0.3255067337
785	0.3254951861
786	0.3254769546
787	0.3254614611
788	0.3254474464
789	0.3254369097
790	0.3254264075
791	0.3254137985
792	0.3254001827
793	0.3253742656
794	0.3253625377
795	0.3253573133
796	0.3253456237
797	0.3253334014
798	0.325316305
799	0.3252943074
800	0.3252841804
801	0.3252790955
802	0.3252690685
803	0.3252566397
804	0.3252417392
805	0.3252231078
806	0.3252058198
807	0.3251993609
808	0.3251780483
809	0.3251650344
810	0.3251594572
811	0.3251516358
812	0.3251376762
813	0.3251122414
814	0.3250995806
815	0.3250849867
816	0.325073904
817	0.3250662152
818	0.3250559361
819	0.3250234687
820	0.3250132429
821	0.3250000343
822	0.3249891904
823	0.3249741439
824	0.3249505801
825	0.3249375737
826	0.3249334843
827	0.324919193
828	0.3249074872
829	0.3248882095
830	0.3248808834
831	0.3248725363
832	0.3248470217
833	0.3248298437
834	0.324817059
835	0.3247990823
836	0.3247894453
837	0.3247740917
838	0.3247680992
839	0.3247549777
840	0.3247320831
841	0.3247062066
842	0.3246964939
843	0.3246788809
844	0.3246698885
845	0.3246491199
846	0.3246238141
847	0.3246005641
848	0.3245898114
849	0.3245809855
850	0.3245542293
851	0.3245433096
852	0.3245339538
853	0.3245282697
854	0.3244969245
855	0.3244873814
856	0.3244768914
857	0.3244667787
858	0.3244604974
859	0.3244425162
860	0.324430692
861	0.324412607
862	0.3244072351
863	0.3243988409
864	0.3243786301
865	0.3243706846
866	0.3243619626
867	0.3243414346
868	0.3243244536
869	0.3243129654
870	0.3242938982
871	0.3242843504
872	0.3242634969
873	0.3242558169
874	0.3242511314
875	0.3242351372
876	0.3242168965
877	0.3241952687
878	0.3241788565
879	0.324171292
880	0.3241577629
881	0.3241395502
882	0.3241220064
883	0.3241118462
884	0.3241019701
885	0.3240979765
886	0.324089847
887	0.324077409
888	0.3240619904
889	0.3240464686
890	0.3240357626
891	0.3240259235
892	0.3240165982
893	0.3239989893
894	0.3239796306
895	0.3239652482
896	0.3239439353
897	0.3239360958
898	0.3239282421
899	0.323919591
900	0.3239037322
901	0.3238966791
902	0.3238870871
903	0.3238758382
904	0.3238529182
905	0.323835804
906	0.3238288036
907	0.3238158363
908	0.3238066176
909	0.323789403
910	0.3237837292
911	0.3237676083
912	0.3237606858
913	0.3237502804
914	0.3237317838
915	0.3237264966
916	0.3237226952
917	0.3237076473
918	0.3236893663
919	0.3236829797
920	0.3236761359
921	0.3236648058
922	0.3236529468
923	0.3236419353
924	0.3236167495
925	0.3236038787
926	0.3235878335
927	0.3235790323
928	0.3235676381
929	0.3235529418
930	0.3235292674
931	0.3235097495
932	0.3234994648
933	0.3234924518
934	0.3234845313
935	0.3234760008
936	0.323465751
937	0.3234534912
938	0.3234373017
939	0.323419411
940	0.3234064421
941	0.3233931764
942	0.3233744463
943	0.3233587673
944	0.3233382211
945	0.3233279056
946	0.3233166196
947	0.3232876933
948	0.3232765557
949	0.3232672777
950	0.3232594343
951	0.3232478505
952	0.3232287554
953	0.3232147041
954	0.3231991084
955	0.3231768896
956	0.3231674902
957	0.3231565491
958	0.3231516305
959	0.3231454711
960	0.323136461
961	0.323125333
962	0.3231216421
963	0.3231162906
964	0.3231029679
965	0.3230951278
966	0.3230827369
967	0.3230697496
968	0.3230639582
969	0.3230543887
970	0.3230465055
971	0.3230291381
972	0.3230162371
973	0.3229997639
974	0.3229806868
975	0.3229680883
976	0.3229583871
977	0.3229480332
978	0.3229409597
979	0.3229304049
980	0.3229194258
981	0.3229093574
982	0.3228951277
983	0.3228912935
984	0.3228666928
985	0.3228442433
986	0.322834191
987	0.3228204858
988	0.3228102214
989	0.3228016319
990	0.3227964554
991	0.322788002
992	0.3227751425
993	0.3227702631
994	0.3227560521
995	0.3227464926
996	0.3227397392
997	0.3227314335
998	0.3227076939
999	0.3226933745
