region,population,population_trend,population_per_of_rf,population_bad_region,real_incomes,real_incomes_trend,real_incomes_per_of_rf,real_incomes_bad_region,real_pay,real_pay_trend,real_pay_per_of_rf,real_pay_bad_region,poor,poor_trend,poor_per_of_rf,poor_bad_region,child_mortality_100k,child_mortality_100k_trend,child_mortality_100k_per_of_rf,child_mortality_100k_bad_region,disabled_100k,disabled_100k_trend,disabled_100k_per_of_rf,disabled_100k_bad_region,alco,alco_per_of_rf,alco_bad_region,drug,drug_trend,drug_per_of_rf,drug_bad_region,grp,grp_per_of_rf,grp_bad_region,constraint,constraint_per_of_rf,constraint_bad_region,living_area,living_area_per_of_rf,living_area_bad_region,very_bad_living_area,very_bad_living_area_per_of_rf,very_bad_living_area_bad_region,general_morbidity,general_morbidity_trend,general_morbidity_per_of_rf,general_morbidity_bad_region,congenital_malformation,congenital_malformation_trend,congenital_malformation_per_of_rf,congenital_malformation_bad_region,psychosis,psychosis_trend,psychosis_per_of_rf,psychosis_bad_region,teenage_pregnancy,teenage_pregnancy_trend,teenage_pregnancy_per_of_rf,teenage_pregnancy_bad_region,conditions_in_perinatal,conditions_in_perinatal_trend,conditions_in_perinatal_per_of_rf,conditions_in_perinatal_bad_region,newborn_100k,newborn_100k_trend,newborn_100k_per_of_rf,newborn_100k_bad_region,poverty_percent,poverty_percent_trend,poverty_percent_per_of_rf,poverty_percent_bad_region,poverty_socdem_children,poverty_socdem_children_trend,poverty_socdem_children_per_of_rf,poverty_socdem_children_bad_region,poverty_socdem_retired,poverty_socdem_retired_trend,poverty_socdem_retired_per_of_rf,poverty_socdem_retired_bad_region,poverty_socdem_employable,poverty_socdem_employable_trend,poverty_socdem_employable_per_of_rf,poverty_socdem_employable_bad_region,mining,mining_trend,mining_per_of_rf,mining_bad_region,manufacturing,manufacturing_trend,manufacturing_per_of_rf,manufacturing_bad_region,electricity,electricity_trend,electricity_per_of_rf,electricity_bad_region,water_supply,water_supply_trend,water_supply_per_of_rf,water_supply_bad_region,industrial_production,industrial_production_trend,industrial_production_per_of_rf,industrial_production_bad_region,retail,retail_per_of_rf,retail_bad_region,welfare_expense,welfare_expense_trend,welfare_expense_per_of_rf,welfare_expense_bad_region,population_children,population_employable,population_retired,children_serious_crimes,children_serious_crimes_trend,children_serious_crimes_per_of_rf,children_serious_crimes_bad_region,repeat_serious_crimes,repeat_serious_crimes_trend,repeat_serious_crimes_per_of_rf,repeat_serious_crimes_bad_region,drunk_serious_crimes,drunk_serious_crimes_trend,drunk_serious_crimes_per_of_rf,drunk_serious_crimes_bad_region,bad_region_sum
Республика Хакасия,528338.0,-1,0.36,1,100.8,1,102.23,0,104.0,1,100.19,0,5.6,-1,53.33,0,6.0,-1,150.0,1,2168.0,-1,77.62,0,79.1,153.29,1,17.9,-1,177.23,1,500422.8,78.13,0,11.8,310.53,1,17.9,105.92,0,1.0,166.67,0,86026.5,1,109.45,1,92.8,-1,45.05,0,331.0,-1,74.73,0,0.0,-1,0.0,0,1680.1,-1,81.86,0,988.0,-1,102.92,0,18.5,-1,152.89,1,43.2,1,108.82,1,2.4,-1,46.15,0,54.3,-1,98.37,0,72383462.4,1,0.5,0,106392496.4,1,0.22,0,56071056.9,1,0.94,0,2191259.0,1,0.15,0,237038274.7,1,0.34,0,194578.0,71.9,0,24.1,1,113.15,0,21.8,56.0,22.2,24.0,-1,85.71,0,15.0,-1,75.0,0,13.0,-1,72.22,0,8
Ростовская область,4153763.0,-1,2.85,1,98.6,1,100.0,0,102.1,1,98.36,0,9.8,-1,93.33,0,6.0,-1,150.0,1,3724.0,-1,133.33,0,29.6,57.36,0,10.6,1,104.95,0,403949.1,63.07,0,3.5,92.11,0,18.2,107.69,0,0.5,83.33,0,81083.3,-1,103.16,0,98.4,1,47.77,0,204.9,-1,46.26,0,8.3,-1,53.55,0,1570.6,-1,76.53,0,856.0,-1,89.17,1,13.0,-1,107.44,0,43.9,1,110.58,1,1.6,-1,30.77,0,54.5,-1,98.73,0,34206877.9,1,0.24,0,849342841.85,1,1.78,0,162209551.2,1,2.72,0,35589982.2,-1,2.49,0,1081349253.15,1,1.55,0,277842.0,102.67,0,27.8,1,130.52,0,17.0,57.5,25.5,24.0,1,85.71,0,17.0,-1,85.0,0,15.0,-1,83.33,0,4
Рязанская область,1085152.0,-1,0.75,1,97.2,1,98.58,0,101.8,1,98.07,0,7.5,-1,71.43,0,4.0,-1,100.0,0,3407.0,-1,121.98,0,51.1,99.03,0,17.2,1,170.3,1,412845.1,64.45,0,2.0,52.63,0,19.0,112.43,0,0.1,16.67,0,70384.8,1,89.55,0,298.4,1,144.85,1,427.7,-1,96.57,0,0.0,-1,0.0,0,1507.5,-1,73.45,0,732.0,-1,76.25,1,12.8,-1,105.79,0,37.0,1,93.2,0,3.3,-1,63.46,0,59.7,-1,108.15,0,1509023.3,1,0.01,0,341384630.8,1,0.71,0,40118028.7,1,0.67,0,9134712.1,1,0.64,0,392146394.9,1,0.56,0,225488.0,83.33,0,22.0,1,103.29,0,16.1,55.5,28.4,44.0,1,157.14,1,20.0,-1,100.0,0,16.0,1,88.89,0,5
Самарская область,3131720.0,-1,2.15,1,97.4,1,98.78,0,102.6,1,98.84,0,8.5,-1,80.95,0,4.0,-1,100.0,0,2481.0,-1,88.83,0,49.4,95.74,0,12.1,-1,119.8,0,505093.4,78.86,0,3.7,97.37,0,16.9,100.0,0,0.3,50.0,0,97537.6,1,124.09,1,325.3,1,157.91,1,446.7,-1,100.86,0,5.6,-1,36.13,0,3133.9,-1,152.7,0,873.0,-1,90.94,0,12.3,-1,101.65,0,36.9,-1,92.95,0,9.5,1,182.69,1,53.6,-1,97.1,0,272383632.4,1,1.88,0,1087820856.8,1,2.28,0,140904474.23,1,2.36,0,46543909.8,1,3.26,0,1547652873.23,1,2.22,0,241042.0,89.07,0,23.4,1,109.86,0,17.6,56.8,25.6,19.0,0,67.86,0,16.0,-1,80.0,0,20.0,1,111.11,0,4
Санкт-Петербург,5377503.0,1,3.69,0,101.1,1,102.54,0,101.0,-1,97.3,1,10.9,-1,103.81,0,4.0,-1,100.0,0,2159.0,-1,77.3,0,14.7,28.49,0,9.4,-1,93.07,0,971158.0,151.62,0,3.7,97.37,0,15.7,92.9,0,0.1,16.67,0,101498.4,1,129.13,1,254.5,1,123.54,1,403.5,-1,91.1,0,11.8,-1,76.13,0,1704.2,-1,83.04,0,992.0,1,103.33,0,5.9,-1,48.76,0,39.7,1,100.0,0,5.2,-1,100.0,0,55.2,-1,100.0,0,35897627.6,1,0.25,0,2564838334.6,1,5.37,0,203617516.5,-1,3.42,0,71373296.4,1,5.0,0,2875726775.1,1,4.13,0,357665.0,132.17,0,19.8,1,92.96,0,16.6,57.9,25.5,35.0,-1,125.0,0,32.0,1,160.0,1,28.0,-1,155.56,1,5
Саратовская область,2360959.0,-1,1.62,1,100.4,1,101.83,0,104.7,1,100.87,0,8.1,-1,77.14,0,4.0,-1,100.0,0,2217.0,-1,79.38,0,48.6,94.19,0,5.7,-1,56.44,0,358480.4,55.97,0,3.7,97.37,0,17.8,105.33,0,1.7,283.33,1,74819.3,1,95.19,0,475.0,1,230.58,1,466.6,-1,105.35,0,1.8,-1,11.61,0,2077.1,-1,101.21,0,767.0,-1,79.9,1,14.8,-1,122.31,0,39.0,-1,98.24,0,2.5,-1,48.08,0,58.5,1,105.98,1,34408819.4,1,0.24,0,427571767.55,1,0.89,0,94980232.9,-1,1.59,0,12703500.7,-1,0.89,1,569664320.55,1,0.82,0,188844.0,69.79,0,27.7,1,130.05,0,16.7,57.0,26.3,31.0,1,110.71,0,22.0,1,110.0,0,17.0,0,94.44,0,6
Сахалинская область,484177.0,-1,0.33,1,98.6,1,100.0,0,101.7,1,97.98,0,10.3,-1,98.1,0,3.0,-1,75.0,0,1985.0,1,71.07,0,106.1,205.62,1,18.4,-1,182.18,1,2059206.5,321.49,0,2.5,65.79,0,17.2,101.78,0,0.0,0.0,0,83995.5,-1,106.86,0,214.2,-1,103.98,0,496.0,-1,111.99,0,31.3,-1,201.94,1,1402.4,-1,68.33,0,1121.0,-1,116.77,0,7.7,-1,63.64,0,39.7,1,100.0,0,5.2,1,100.0,0,55.2,-1,100.0,0,731920051.4,1,5.05,0,65896029.1,1,0.14,0,19913057.08,1,0.33,0,4135165.9,1,0.29,0,821864303.48,1,1.18,0,364356.0,134.64,0,16.5,1,77.46,1,19.8,58.3,21.9,31.0,1,110.71,0,20.0,1,100.0,0,19.0,1,105.56,0,5
Свердловская область,4264340.0,-1,2.93,1,92.5,-1,93.81,1,102.1,1,98.36,0,10.5,-1,100.0,0,4.0,-1,100.0,0,2400.0,-1,85.93,0,50.2,97.29,0,12.9,-1,127.72,0,588270.0,91.84,0,3.7,97.37,0,15.8,93.49,0,0.5,83.33,0,75208.5,1,95.68,0,96.5,1,46.84,0,436.4,-1,98.53,0,11.4,-1,73.55,0,3392.8,-1,165.32,0,1002.0,-1,104.38,0,9.0,-1,74.38,0,46.3,1,116.62,1,2.2,-1,42.31,0,51.5,-1,93.3,0,92526767.4,1,0.64,0,2072196704.81,1,4.34,0,245175701.1,1,4.11,0,77608009.86,1,5.43,0,2487507183.17,1,3.57,0,287048.0,106.08,0,23.5,1,110.33,0,19.9,56.0,24.1,22.0,-1,78.57,0,19.0,-1,95.0,0,20.0,-1,111.11,0,3
Севастополь,522057.0,1,0.36,0,102.9,-1,104.36,0,101.3,1,97.59,0,6.2,-1,59.05,0,4.0,-1,100.0,0,1498.0,-1,53.63,0,90.0,174.42,1,25.4,-1,251.49,1,295304.9,46.1,1,6.8,178.95,1,13.7,81.07,1,1.2,200.0,0,52350.6,1,66.6,0,146.8,1,71.26,0,367.3,-1,82.93,0,23.4,1,150.97,1,2237.0,-1,109.0,0,830.0,-1,86.46,1,11.0,-1,90.91,0,39.7,-1,100.0,0,5.2,-1,100.0,0,55.2,1,100.0,0,874018.0,1,0.01,0,15630051.1,1,0.03,0,8877990.5,1,0.15,0,1428755000.0,1,100.0,0,29028253.9,1,0.04,0,187776.0,69.39,0,13.3,1,62.44,1,17.8,58.5,23.7,26.0,-1,92.86,0,21.0,-1,105.0,0,14.0,-1,77.78,0,8
Смоленская область,909856.0,-1,0.63,1,98.3,1,99.7,0,102.5,1,98.75,0,8.5,1,80.95,0,4.0,-1,100.0,0,2879.0,-1,103.08,0,72.4,140.31,0,7.1,-1,70.3,0,386274.8,60.31,0,0.8,21.05,0,19.4,114.79,0,1.0,166.67,0,72034.9,-1,91.65,0,321.6,1,156.12,1,262.8,-1,59.34,0,0.0,-1,0.0,0,1514.9,-1,73.81,0,665.0,-1,69.27,1,15.6,-1,128.93,0,34.7,1,87.41,0,12.0,1,230.77,1,53.3,-1,96.56,0,2038290.5,1,0.01,0,219478208.7,1,0.46,0,54579627.0,1,0.92,0,13230839.7,1,0.93,0,289326966.1,1,0.42,0,211221.0,78.05,0,27.2,1,127.7,0,15.6,57.1,27.3,28.0,1,100.0,0,20.0,1,100.0,0,17.0,1,94.44,0,4
