region,population,population_trend,population_per_of_rf,population_bad_region,real_incomes,real_incomes_trend,real_incomes_per_of_rf,real_incomes_bad_region,real_pay,real_pay_trend,real_pay_per_of_rf,real_pay_bad_region,poor,poor_trend,poor_per_of_rf,poor_bad_region,child_mortality_100k,child_mortality_100k_trend,child_mortality_100k_per_of_rf,child_mortality_100k_bad_region,disabled_100k,disabled_100k_trend,disabled_100k_per_of_rf,disabled_100k_bad_region,alco,alco_per_of_rf,alco_bad_region,drug,drug_trend,drug_per_of_rf,drug_bad_region,grp,grp_per_of_rf,grp_bad_region,constraint,constraint_per_of_rf,constraint_bad_region,living_area,living_area_per_of_rf,living_area_bad_region,very_bad_living_area,very_bad_living_area_per_of_rf,very_bad_living_area_bad_region,general_morbidity,general_morbidity_trend,general_morbidity_per_of_rf,general_morbidity_bad_region,congenital_malformation,congenital_malformation_trend,congenital_malformation_per_of_rf,congenital_malformation_bad_region,psychosis,psychosis_trend,psychosis_per_of_rf,psychosis_bad_region,teenage_pregnancy,teenage_pregnancy_trend,teenage_pregnancy_per_of_rf,teenage_pregnancy_bad_region,conditions_in_perinatal,conditions_in_perinatal_trend,conditions_in_perinatal_per_of_rf,conditions_in_perinatal_bad_region,newborn_100k,newborn_100k_trend,newborn_100k_per_of_rf,newborn_100k_bad_region,poverty_percent,poverty_percent_trend,poverty_percent_per_of_rf,poverty_percent_bad_region,poverty_socdem_children,poverty_socdem_children_trend,poverty_socdem_children_per_of_rf,poverty_socdem_children_bad_region,poverty_socdem_retired,poverty_socdem_retired_trend,poverty_socdem_retired_per_of_rf,poverty_socdem_retired_bad_region,poverty_socdem_employable,poverty_socdem_employable_trend,poverty_socdem_employable_per_of_rf,poverty_socdem_employable_bad_region,mining,mining_trend,mining_per_of_rf,mining_bad_region,manufacturing,manufacturing_trend,manufacturing_per_of_rf,manufacturing_bad_region,electricity,electricity_trend,electricity_per_of_rf,electricity_bad_region,water_supply,water_supply_trend,water_supply_per_of_rf,water_supply_bad_region,industrial_production,industrial_production_trend,industrial_production_per_of_rf,industrial_production_bad_region,retail,retail_per_of_rf,retail_bad_region,welfare_expense,welfare_expense_trend,welfare_expense_per_of_rf,welfare_expense_bad_region,population_children,population_employable,population_retired,children_serious_crimes,children_serious_crimes_trend,children_serious_crimes_per_of_rf,children_serious_crimes_bad_region,repeat_serious_crimes,repeat_serious_crimes_trend,repeat_serious_crimes_per_of_rf,repeat_serious_crimes_bad_region,drunk_serious_crimes,drunk_serious_crimes_trend,drunk_serious_crimes_per_of_rf,drunk_serious_crimes_bad_region,bad_region_sum
Ставропольский край,2780204.0,1,1.91,0,94.5,1,95.84,1,102.5,1,98.75,0,6.6,-1,62.86,0,5.0,-1,125.0,0,3069.0,-1,109.88,0,23.6,45.74,0,4.0,-1,39.6,0,308476.2,48.16,1,3.1,81.58,0,19.0,112.43,0,0.5,83.33,0,59172.3,1,75.28,0,190.5,1,92.48,0,246.4,1,55.63,0,11.2,1,72.26,0,983.2,-1,47.91,0,954.0,-1,99.38,0,13.8,-1,114.05,0,39.2,1,98.74,0,1.9,-1,36.54,0,58.9,1,106.7,1,11073282.6,1,0.08,0,307718213.5,1,0.64,0,68663889.1,-1,1.15,0,12597835.0,1,0.88,0,400053220.4,1,0.57,0,215801.0,79.75,0,30.8,1,144.6,0,18.8,58.1,23.1,26.0,1,92.86,0,19.0,-1,95.0,0,14.0,1,77.78,0,3
Тамбовская область,980984.0,-1,0.67,1,94.3,-1,95.64,1,104.1,1,100.29,0,7.7,-1,73.33,0,3.0,-1,75.0,0,3622.0,-1,129.68,0,45.0,87.21,0,5.1,1,50.5,0,378455.8,59.09,0,2.2,57.89,0,19.7,116.57,0,0.3,50.0,0,64949.8,-1,82.63,0,124.6,-1,60.49,0,475.7,-1,107.41,0,4.5,-1,29.03,0,3733.6,-1,181.92,1,726.0,-1,75.62,1,10.8,-1,89.26,0,33.5,1,84.38,0,7.6,1,146.15,1,58.9,-1,106.7,0,267666.1,1,0.0,0,188201670.58,1,0.39,0,14878456.32,-1,0.25,1,4313657.29,1,0.3,0,207661450.29,1,0.3,0,222950.0,82.39,0,23.9,1,112.21,0,15.1,55.5,29.4,21.0,1,75.0,0,15.0,-1,75.0,0,13.0,-1,72.22,0,6
Тверская область,1230190.0,-1,0.85,1,97.4,1,98.78,0,103.9,1,100.1,0,6.2,-1,59.05,0,4.0,-1,100.0,0,2635.0,-1,94.34,0,41.0,79.46,0,5.0,-1,49.5,0,391722.2,61.16,0,3.2,84.21,0,17.5,103.55,0,0.3,50.0,0,86566.6,1,110.13,1,180.7,1,87.72,0,729.8,-1,164.78,0,0.0,0,0.0,0,2314.9,-1,112.8,0,758.0,-1,78.96,1,11.4,-1,94.21,0,31.0,-1,78.09,0,3.8,-1,73.08,0,65.1,1,117.93,1,789317.0,1,0.01,0,341532380.55,1,0.71,0,92219041.6,-1,1.55,0,9371061.0,1,0.66,0,443911800.15,1,0.64,0,233777.0,86.39,0,22.5,1,105.63,0,16.8,55.4,27.8,35.0,1,125.0,1,19.0,-1,95.0,0,19.0,1,105.56,0,5
Томская область,1068304.0,1,0.73,0,97.7,1,99.09,0,103.2,1,99.42,0,6.9,-1,65.71,0,4.0,-1,100.0,0,2715.0,1,97.21,0,44.2,85.66,0,7.7,-1,76.24,0,518179.5,80.9,0,1.4,36.84,0,16.9,100.0,0,0.4,66.67,0,70726.0,-1,89.98,0,243.0,1,117.96,1,616.2,-1,139.13,0,0.0,-1,0.0,0,857.6,-1,41.79,0,882.0,-1,91.88,0,14.4,-1,119.01,0,42.2,1,106.3,1,3.6,1,69.23,0,54.2,-1,98.19,0,115235275.0,1,0.79,0,198997143.4,1,0.42,0,31920321.1,-1,0.54,1,8768566.9,-1,0.61,1,354921306.4,-1,0.51,1,196290.0,72.54,0,23.5,1,110.33,0,18.9,59.5,21.6,30.0,-1,107.14,0,19.0,-1,95.0,0,18.0,-1,100.0,0,5
Тульская область,1432570.0,-1,0.98,1,98.2,1,99.59,0,103.3,1,99.52,0,7.1,-1,67.62,0,4.0,-1,100.0,0,3495.0,-1,125.13,0,69.0,133.72,0,9.0,1,89.11,0,486544.2,75.96,0,4.2,110.53,0,16.6,98.22,0,0.5,83.33,0,72165.3,-1,91.81,0,109.1,-1,52.96,0,313.7,-1,70.83,0,16.5,1,106.45,1,1870.3,-1,91.13,0,700.0,-1,72.92,1,10.1,-1,83.47,0,38.8,1,97.73,0,5.3,1,101.92,1,56.0,-1,101.45,0,8334138.3,1,0.06,0,850736047.67,1,1.78,0,55211893.3,1,0.93,0,17931811.5,1,1.26,0,932213890.77,1,1.34,0,240438.0,88.85,0,23.3,1,109.39,0,15.0,56.2,28.8,28.0,1,100.0,0,21.0,-1,105.0,0,20.0,-1,111.11,0,4
Тюменская область без округов,1552148.0,1,1.07,0,99.2,1,100.61,0,102.5,1,98.75,0,8.9,-1,84.76,0,4.0,-1,100.0,0,-44.0,-1,-1.58,0,61.2,118.6,0,13.2,1,130.69,1,757076.0,118.2,0,4.5,118.42,0,18.1,107.1,0,1.0,166.67,0,64208.6,1,81.69,0,40.8,1,19.81,0,340.5,-1,76.88,0,37.8,-1,243.87,1,2941.9,-1,143.35,0,1200.0,1,125.0,0,13.6,1,112.4,1,37.9,-1,95.47,0,7.5,1,144.23,1,54.7,1,99.09,0,183155192.3,1,1.26,0,651681655.42,1,1.36,0,58985789.2,1,0.99,0,18462258.7,1,1.29,0,912284895.62,-1,1.31,0,298699.0,110.38,0,21.3,1,100.0,0,22.1,57.3,20.6,27.0,1,96.43,0,17.0,0,85.0,0,14.0,-1,77.78,0,4
Удмуртская Республика,1484460.0,-1,1.02,1,97.9,1,99.29,0,103.4,-1,99.61,1,5.9,-1,56.19,0,4.0,-1,100.0,0,2519.0,-1,90.19,0,56.4,109.3,0,7.7,-1,76.24,0,451490.9,70.49,0,3.4,89.47,0,14.8,87.57,1,0.6,100.0,0,99088.4,1,126.06,1,191.0,-1,92.72,0,428.4,-1,96.73,0,7.5,-1,48.39,0,1216.6,-1,59.28,0,956.0,-1,99.58,0,11.9,-1,98.35,0,49.9,1,125.69,1,2.7,-1,51.92,0,47.5,-1,86.05,0,187616196.1,1,1.29,0,337062165.06,1,0.71,0,41392702.2,1,0.69,0,15502492.1,1,1.09,0,581573555.46,1,0.83,0,178357.0,65.91,0,23.1,1,108.45,0,20.4,55.6,24.0,26.0,1,92.86,0,25.0,1,125.0,1,18.0,1,100.0,0,6
Ульяновская область,1203969.0,-1,0.83,1,99.2,1,100.61,0,102.2,1,98.46,0,7.0,-1,66.67,0,3.0,-1,75.0,0,3151.0,-1,112.82,0,102.6,198.84,1,19.1,1,189.11,1,360112.2,56.22,0,1.0,26.32,0,17.9,105.92,0,0.5,83.33,0,87077.9,-1,110.78,0,253.1,-1,122.86,0,372.1,-1,84.01,0,0.0,-1,0.0,0,3807.9,-1,185.54,1,822.0,-1,85.62,1,15.0,-1,123.97,0,38.4,1,96.73,0,3.1,-1,59.62,0,58.5,-1,105.98,0,14093423.36,1,0.1,0,276051692.06,1,0.58,0,26302592.1,-1,0.44,1,9717375.4,-1,0.68,1,326165082.92,1,0.47,0,185625.0,68.6,0,25.3,1,118.78,0,16.8,55.3,27.9,20.0,-1,71.43,0,19.0,-1,95.0,0,17.0,-1,94.44,0,7
Хабаровский край,1298978.0,-1,0.89,1,96.2,1,97.57,0,101.9,1,98.17,0,7.6,-1,72.38,0,4.0,-1,100.0,0,1995.0,-1,71.43,0,128.5,249.03,1,17.3,1,171.29,1,658239.5,102.77,0,6.0,157.89,1,15.4,91.12,0,0.2,33.33,0,67303.6,-1,85.63,0,153.4,-1,74.47,0,377.2,-1,85.17,0,0.0,-1,0.0,0,1496.9,-1,72.94,0,1020.0,-1,106.25,0,12.0,-1,99.17,0,32.7,-1,82.37,0,6.4,1,123.08,1,60.9,1,110.33,1,27568168.6,1,0.19,0,406826629.0,1,0.85,0,57923804.8,1,0.97,0,9521832.9,1,0.67,0,501840435.3,1,0.72,0,301099.0,111.27,0,25.7,1,120.66,0,19.4,59.4,21.2,28.0,1,100.0,0,20.0,1,100.0,0,20.0,1,111.11,0,6
Ханты-Мансийский автономный округ - Югра,1702240.0,1,1.17,0,100.4,1,101.83,0,103.5,1,99.71,0,9.5,-1,90.48,0,4.0,-1,100.0,0,1606.0,-1,57.5,0,33.7,65.31,0,6.2,-1,61.39,0,1994630.3,311.41,0,3.5,92.11,0,13.9,82.25,1,0.6,100.0,0,90676.1,-1,115.36,0,193.3,1,93.83,0,405.8,-1,91.62,0,18.2,-1,117.42,0,2301.5,-1,112.14,0,1169.0,-1,121.77,0,8.4,1,69.42,0,55.6,1,140.05,1,1.6,-1,30.77,0,42.9,-1,77.72,0,2659122568.6,1,18.34,0,567899557.74,1,1.19,0,215684434.4,1,3.62,0,23768335.3,-1,1.66,0,3466474896.04,-1,4.98,0,288977.0,106.79,0,15.8,1,74.18,1,22.7,61.5,15.8,22.0,1,78.57,0,22.0,1,110.0,0,16.0,0,88.89,0,3
Челябинская область,3418606.0,-1,2.35,1,100.8,1,102.23,0,101.7,1,97.98,0,6.8,-1,64.76,0,4.0,-1,100.0,0,2267.0,-1,81.17,0,69.6,134.88,0,20.6,0,203.96,1,467537.3,72.99,0,4.9,128.95,0,16.0,94.67,0,0.5,83.33,0,88428.4,1,112.5,1,397.2,1,192.82,1,667.3,-1,150.67,0,7.0,-1,45.16,0,2309.7,-1,112.54,0,969.0,-1,100.94,0,12.6,-1,104.13,0,40.6,-1,102.27,0,6.0,1,115.38,1,53.4,1,96.74,0,139619313.5,1,0.96,0,1412224407.1,1,2.96,0,129497823.0,-1,2.17,0,37238860.6,-1,2.61,0,1718580404.2,1,2.47,0,199595.0,73.76,0,24.3,1,114.08,0,19.6,56.2,24.2,25.0,-1,89.29,0,18.0,-1,90.0,0,16.0,-1,88.89,0,5
Чеченская Республика,1516387.0,1,1.04,0,100.1,1,101.52,0,104.0,1,100.19,0,8.9,-1,84.76,0,13.0,1,325.0,1,9830.0,1,351.95,1,4.1,7.95,0,0.6,-1,5.94,0,171029.5,26.7,1,1.4,36.84,0,19.2,113.61,0,0.4,66.67,0,52150.1,1,66.35,0,73.6,1,35.73,0,157.9,-1,35.65,0,15.5,-1,100.0,0,846.7,1,41.26,0,2026.0,-1,211.04,0,20.4,1,168.6,1,43.7,-1,110.08,0,6.2,1,119.23,1,50.1,1,90.76,0,4552198.6,-1,0.03,1,11931357.8,1,0.02,0,24685932.8,1,0.41,0,2323171.0,1,0.16,0,43492660.2,1,0.06,0,141300.0,52.22,0,35.1,1,164.79,0,32.6,57.5,9.9,40.0,1,142.86,1,25.0,1,125.0,1,5.0,-1,27.78,0,8
Чувашская Республика,1198429.0,-1,0.82,1,101.4,1,102.84,0,104.3,1,100.48,0,6.6,-1,62.86,0,2.0,-1,50.0,0,2346.0,-1,84.0,0,79.0,153.1,1,1.2,-1,11.88,0,287210.3,44.84,1,8.0,210.53,1,14.2,84.02,1,0.3,50.0,0,93394.5,-1,118.82,0,487.8,-1,236.8,1,515.7,-1,116.44,0,3.3,1,21.29,0,1192.0,-1,58.08,0,916.0,-1,95.42,0,16.8,-1,138.84,0,22.2,-1,55.92,0,4.2,-1,80.77,0,73.6,1,133.33,1,470434.3,1,0.0,0,221808713.37,1,0.46,0,24286704.33,-1,0.41,1,6463987.7,1,0.45,0,253029839.7,1,0.36,0,166150.0,61.4,0,24.9,-1,116.9,0,19.3,56.6,24.1,24.0,-1,85.71,0,20.0,-1,100.0,0,19.0,0,105.56,0,8
Чукотский автономный округ,50040.0,-1,0.03,1,105.2,1,106.69,0,110.5,1,106.45,0,11.3,-1,107.62,0,16.0,-1,400.0,1,2156.0,1,77.19,0,208.7,404.46,1,0.0,-1,0.0,0,2404271.2,375.36,0,3.2,84.21,0,14.1,83.43,1,1.7,283.33,1,128506.5,1,163.49,1,255.2,1,123.88,1,957.0,-1,216.08,1,111.5,1,719.35,1,2101.5,-1,102.4,0,1052.0,-1,109.58,0,8.0,1,66.12,0,39.7,-1,100.0,0,5.2,1,100.0,0,55.2,1,100.0,0,23136924.6,1,0.16,0,93236797.7,1,0.2,0,13620029.4,1,0.23,0,647356.7,1,0.05,0,130641108.4,1,0.19,0,225671.0,83.39,0,6.4,-1,30.05,1,21.6,64.0,14.4,30.0,-1,107.14,0,26.0,1,130.0,1,23.0,1,127.78,1,12
Ямало-Ненецкий автономный округ,552117.0,1,0.38,0,106.8,1,108.32,0,108.0,1,104.05,0,13.3,1,126.67,1,6.0,-1,150.0,1,1385.0,-1,49.59,0,94.7,183.53,1,18.9,-1,187.13,1,5072483.6,791.93,0,4.5,118.42,0,15.5,91.72,0,0.8,133.33,0,118256.9,1,150.45,1,258.9,1,125.68,1,693.9,-1,156.67,0,11.3,-1,72.9,0,3234.2,-1,157.59,0,1271.0,-1,132.4,0,4.8,1,39.67,0,51.0,1,128.46,1,0.7,-1,13.46,0,48.4,-1,87.68,0,2357945159.6,1,16.26,0,307490084.98,1,0.64,0,53303625.2,-1,0.89,1,13571615.3,1,0.95,0,2732310485.08,1,3.92,0,293712.0,108.54,0,12.6,1,59.15,1,23.6,64.4,12.0,42.0,1,150.0,1,23.0,1,115.0,0,21.0,1,116.67,0,10
Ярославская область,1227383.0,-1,0.84,1,98.2,1,99.59,0,100.9,1,97.21,0,7.5,-1,71.43,0,3.0,-1,75.0,0,2242.0,-1,80.27,0,45.3,87.79,0,7.6,1,75.25,0,495102.2,77.3,0,3.7,97.37,0,15.8,93.49,0,0.3,50.0,0,89949.9,-1,114.44,0,171.6,-1,83.3,0,434.8,-1,98.17,0,624.4,1,4028.39,1,1270.5,-1,61.91,0,825.0,-1,85.94,1,9.9,-1,81.82,0,31.9,-1,80.35,0,2.3,-1,44.23,0,65.8,1,119.2,1,1205598.3,1,0.01,0,420810277.3,1,0.88,0,46191636.0,1,0.78,0,11331135.7,1,0.79,0,479538647.3,1,0.69,0,247711.0,91.54,0,23.5,1,110.33,0,17.5,55.7,26.8,32.0,1,114.29,0,20.0,-1,100.0,0,22.0,-1,122.22,1,5
